,age,num_medications,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0 - 9,1-9,-2.7,0.0,2.0,-7.4,4.7,0,,,,,
1,0 - 9,10-19,4.5,0.0,9.2,-0.2,4.7,0,,,,,
2,0 - 9,20-29,-2.9,0.0,1.8,-7.7,4.7,0,,,,,
3,0 - 9,30-39,6.1,0.0,10.8,1.3,4.7,0,,,,,
4,0 - 9,40-49,-0.1,0.0,4.6,-4.8,4.7,0,,,,,
5,0 - 9,50-89,0.8,0.0,5.6,-3.9,4.7,0,,,,,
6,10 - 19,1-9,11.1,11.0,15.8,6.4,4.7,0,,,,,
7,10 - 19,10-19,0.3,2.0,5.0,-4.5,4.7,0,,,,,
8,10 - 19,20-29,-3.3,0.0,1.4,-8.0,4.7,0,,,,,
9,10 - 19,30-39,-6.1,0.0,-1.4,-10.8,4.7,0,,,,,
10,10 - 19,40-49,2.2,0.0,6.9,-2.6,4.7,0,,,,,
11,10 - 19,50-89,-0.4,0.0,4.3,-5.1,4.7,0,,,,,
12,20 - 29,1-9,11.8,7.0,16.5,7.0,4.7,0,,,,,
13,20 - 29,10-19,5.0,7.0,9.7,0.3,4.7,0,,,,,
14,20 - 29,20-29,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
15,20 - 29,30-39,-1.7,0.0,3.0,-6.5,4.7,0,,,,,
16,20 - 29,40-49,1.0,0.0,5.7,-3.7,4.7,0,,,,,
17,20 - 29,50-89,0.6,0.0,5.3,-4.1,4.7,0,,,,,
18,30 - 39,1-9,12.9,15.0,17.6,8.2,4.7,0,,,,,
19,30 - 39,10-19,33.1,35.0,37.8,28.4,4.7,0,,,,,
20,30 - 39,20-29,6.7,9.0,11.5,2.0,4.7,0,,,,,
21,30 - 39,30-39,1.6,3.0,6.3,-3.1,4.7,0,,,,,
22,30 - 39,40-49,-4.1,0.0,0.6,-8.9,4.7,0,,,,,
23,30 - 39,50-89,-3.7,0.0,1.0,-8.4,4.7,0,,,,,
24,40 - 49,1-9,29.4,21.0,34.2,24.7,4.7,0,,,,,
25,40 - 49,10-19,41.7,45.0,46.5,37.0,4.7,0,,,,,
26,40 - 49,20-29,9.9,20.0,14.6,5.2,4.7,0,,,,,
27,40 - 49,30-39,4.0,7.0,8.7,-0.7,4.7,0,,,,,
