,age,num_medications,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0 - 9,1-9,4.6,4.0,9.4,-0.1,4.7,0,,,,,
1,0 - 9,10-19,5.3,0.0,10.0,0.6,4.7,0,,,,,
2,0 - 9,20-29,5.1,0.0,9.8,0.4,4.7,0,,,,,
3,0 - 9,30-39,3.3,0.0,8.0,-1.4,4.7,0,,,,,
4,0 - 9,40-49,-8.8,0.0,-4.1,-13.5,4.7,0,,,,,
5,0 - 9,50-89,1.6,0.0,6.3,-3.1,4.7,0,,,,,
6,10 - 19,1-9,3.1,3.0,7.8,-1.6,4.7,0,,,,,
7,10 - 19,10-19,2.3,1.0,7.0,-2.4,4.7,0,,,,,
8,10 - 19,20-29,-3.2,0.0,1.6,-7.9,4.7,0,,,,,
9,10 - 19,30-39,-2.0,0.0,2.7,-6.7,4.7,0,,,,,
10,10 - 19,40-49,1.9,0.0,6.6,-2.8,4.7,0,,,,,
11,10 - 19,50-89,2.8,0.0,7.5,-1.9,4.7,0,,,,,
12,20 - 29,1-9,13.7,11.0,18.4,9.0,4.7,0,,,,,
13,20 - 29,10-19,-3.7,5.0,1.0,-8.4,4.7,0,,,,,
14,20 - 29,20-29,-2.9,2.0,1.9,-7.6,4.7,0,,,,,
15,20 - 29,30-39,3.3,1.0,8.0,-1.4,4.7,0,,,,,
16,20 - 29,40-49,-2.5,0.0,2.3,-7.2,4.7,0,,,,,
17,20 - 29,50-89,-2.2,0.0,2.5,-7.0,4.7,0,,,,,
18,30 - 39,1-9,18.7,11.0,23.4,13.9,4.7,0,,,,,
19,30 - 39,10-19,20.4,20.0,25.2,15.7,4.7,0,,,,,
20,30 - 39,20-29,5.6,9.0,10.3,0.9,4.7,0,,,,,
21,30 - 39,30-39,4.6,2.0,9.3,-0.1,4.7,0,,,,,
22,30 - 39,40-49,-0.1,0.0,4.7,-4.8,4.7,0,,,,,
23,30 - 39,50-89,2.0,1.0,6.7,-2.7,4.7,0,,,,,
24,40 - 49,1-9,26.7,27.0,31.4,22.0,4.7,0,,,,,
25,40 - 49,10-19,55.0,55.0,59.7,50.3,4.7,0,,,,,
26,40 - 49,20-29,27.5,26.0,32.2,22.8,4.7,0,,,,,
27,40 - 49,30-39,4.2,3.0,8.9,-0.5,4.7,0,,,,,
28,40 - 49,40-49,-2.1,0.0,2.6,-6.8,4.7,0,,,,,
29,40 - 49,50-89,-5.7,1.0,-1.0,-10.4,4.7,0,,,,,
30,50 - 59,1-9,31.9,32.0,36.6,27.2,4.7,0,,,,,
31,50 - 59,10-19,78.6,80.0,83.3,73.9,4.7,0,,,,,
