,age,num_medications,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0 - 9,1-9,8.6,4.0,13.3,3.9,4.7,0,,,,,
1,0 - 9,10-19,9.2,0.0,13.9,4.5,4.7,0,,,,,
2,0 - 9,20-29,4.5,0.0,9.2,-0.2,4.7,0,,,,,
3,0 - 9,30-39,0.2,0.0,4.9,-4.5,4.7,0,,,,,
4,0 - 9,40-49,-2.5,0.0,2.2,-7.3,4.7,0,,,,,
5,0 - 9,50-89,-12.6,0.0,-7.9,-17.3,4.7,0,,,,,
6,10 - 19,1-9,2.3,3.0,7.0,-2.4,4.7,0,,,,,
7,10 - 19,10-19,1.2,1.0,5.9,-3.6,4.7,0,,,,,
8,10 - 19,20-29,-0.1,0.0,4.6,-4.9,4.7,0,,,,,
9,10 - 19,30-39,0.4,0.0,5.1,-4.3,4.7,0,,,,,
10,10 - 19,40-49,0.3,0.0,5.0,-4.4,4.7,0,,,,,
11,10 - 19,50-89,2.5,0.0,7.2,-2.3,4.7,0,,,,,
12,20 - 29,1-9,11.9,11.0,16.6,7.2,4.7,0,,,,,
13,20 - 29,10-19,4.5,5.0,9.2,-0.2,4.7,0,,,,,
14,20 - 29,20-29,0.2,2.0,4.9,-4.5,4.7,0,,,,,
15,20 - 29,30-39,10.8,1.0,15.6,6.1,4.7,0,,,,,
16,20 - 29,40-49,-1.3,0.0,3.4,-6.1,4.7,0,,,,,
17,20 - 29,50-89,-2.8,0.0,2.0,-7.5,4.7,0,,,,,
18,30 - 39,1-9,22.2,11.0,27.0,17.5,4.7,0,,,,,
19,30 - 39,10-19,15.5,20.0,20.2,10.7,4.7,0,,,,,
20,30 - 39,20-29,7.5,9.0,12.2,2.8,4.7,0,,,,,
21,30 - 39,30-39,-4.5,2.0,0.2,-9.2,4.7,0,,,,,
22,30 - 39,40-49,-2.7,0.0,2.0,-7.4,4.7,0,,,,,
23,30 - 39,50-89,0.2,1.0,4.9,-4.5,4.7,0,,,,,
24,40 - 49,1-9,25.8,27.0,30.5,21.1,4.7,0,,,,,
25,40 - 49,10-19,66.6,55.0,71.3,61.9,4.7,0,,,,,
26,40 - 49,20-29,16.5,26.0,21.2,11.8,4.7,0,,,,,
27,40 - 49,30-39,1.8,3.0,6.5,-2.9,4.7,0,,,,,
28,40 - 49,40-49,-0.9,0.0,3.8,-5.6,4.7,0,,,,,
29,40 - 49,50-89,3.5,1.0,8.2,-1.2,4.7,0,,,,,
30,50 - 59,1-9,30.5,32.0,35.2,25.8,4.7,0,,,,,
31,50 - 59,10-19,79.5,80.0,84.2,74.8,4.7,0,,,,,
32,50 - 59,20-29,30.9,33.0,35.7,26.2,4.7,0,,,,,
33,50 - 59,30-39,13.1,10.0,17.8,8.4,4.7,0,,,,,
34,50 - 59,40-49,4.1,3.0,8.8,-0.6,4.7,0,,,,,
35,50 - 59,50-89,-6.6,0.0,-1.9,-11.3,4.7,0,,,,,
36,60 - 69,1-9,39.0,36.0,43.7,34.3,4.7,0,,,,,
37,60 - 69,10-19,79.8,89.0,84.6,75.1,4.7,0,,,,,
38,60 - 69,20-29,57.7,58.0,62.4,53.0,4.7,0,,,,,
39,60 - 69,30-39,17.9,15.0,22.6,13.2,4.7,0,,,,,
40,60 - 69,40-49,14.6,2.0,19.3,9.9,4.7,0,,,,,
41,60 - 69,50-89,2.6,2.0,7.3,-2.1,4.7,0,,,,,
42,70 - 79,1-9,49.6,50.0,54.3,44.9,4.7,0,,,,,
43,70 - 79,10-19,141.7,145.0,146.5,137.0,4.7,0,,,,,
44,70 - 79,20-29,47.0,46.0,51.7,42.3,4.7,0,,,,,
45,70 - 79,30-39,9.2,12.0,13.9,4.5,4.7,0,,,,,
46,70 - 79,40-49,-3.0,1.0,1.7,-7.7,4.7,0,,,,,
47,70 - 79,50-89,1.3,1.0,6.0,-3.5,4.7,0,,,,,
48,80 - 89,1-9,43.1,41.0,47.8,38.4,4.7,0,,,,,
49,80 - 89,10-19,108.0,101.0,112.8,103.3,4.7,0,,,,,
50,80 - 89,20-29,38.3,31.0,43.0,33.5,4.7,0,,,,,
51,80 - 89,30-39,1.0,2.0,5.8,-3.7,4.7,0,,,,,
52,80 - 89,40-49,1.7,1.0,6.4,-3.0,4.7,0,,,,,
53,80 - 89,50-89,1.3,0.0,6.0,-3.4,4.7,0,,,,,
54,90 - 99,1-9,9.8,10.0,14.5,5.1,4.7,0,,,,,
55,90 - 99,10-19,-3.4,10.0,1.3,-8.2,4.7,0,,,,,
56,90 - 99,20-29,-0.7,6.0,4.1,-5.4,4.7,0,,,,,
57,90 - 99,30-39,0.5,1.0,5.2,-4.2,4.7,0,,,,,
58,90 - 99,40-49,-0.5,0.0,4.2,-5.2,4.7,0,,,,,
