,age,num_medications,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0 - 9,1-9,2.2,4.0,7.0,-2.5,4.7,0,,,,,
1,0 - 9,10-19,0.2,0.0,4.9,-4.5,4.7,0,,,,,
2,0 - 9,20-29,-3.2,0.0,1.5,-7.9,4.7,0,,,,,
3,0 - 9,30-39,-6.7,0.0,-1.9,-11.4,4.7,0,,,,,
4,0 - 9,40-49,2.8,0.0,7.6,-1.9,4.7,0,,,,,
5,0 - 9,50-89,1.2,0.0,6.0,-3.5,4.7,0,,,,,
6,10 - 19,1-9,3.5,3.0,8.3,-1.2,4.7,0,,,,,
7,10 - 19,10-19,-7.5,1.0,-2.8,-12.2,4.7,0,,,,,
8,10 - 19,20-29,-1.1,0.0,3.6,-5.8,4.7,0,,,,,
9,10 - 19,30-39,7.4,0.0,12.1,2.7,4.7,0,,,,,
10,10 - 19,40-49,-7.1,0.0,-2.4,-11.8,4.7,0,,,,,
11,10 - 19,50-89,4.3,0.0,9.1,-0.4,4.7,0,,,,,
12,20 - 29,1-9,3.4,11.0,8.1,-1.3,4.7,0,,,,,
13,20 - 29,10-19,6.2,5.0,10.9,1.5,4.7,0,,,,,
14,20 - 29,20-29,2.4,2.0,7.1,-2.3,4.7,0,,,,,
15,20 - 29,30-39,1.7,1.0,6.4,-3.0,4.7,0,,,,,
16,20 - 29,40-49,-0.1,0.0,4.6,-4.8,4.7,0,,,,,
17,20 - 29,50-89,-1.9,0.0,2.8,-6.6,4.7,0,,,,,
18,30 - 39,1-9,11.4,11.0,16.2,6.7,4.7,0,,,,,
19,30 - 39,10-19,19.2,20.0,23.9,14.5,4.7,0,,,,,
20,30 - 39,20-29,11.9,9.0,16.6,7.2,4.7,0,,,,,
21,30 - 39,30-39,1.4,2.0,6.1,-3.3,4.7,0,,,,,
22,30 - 39,40-49,-4.2,0.0,0.6,-8.9,4.7,0,,,,,
23,30 - 39,50-89,-3.0,1.0,1.7,-7.7,4.7,0,,,,,
24,40 - 49,1-9,28.9,27.0,33.6,24.2,4.7,0,,,,,
25,40 - 49,10-19,53.2,55.0,57.9,48.5,4.7,0,,,,,
26,40 - 49,20-29,22.9,26.0,27.6,18.2,4.7,0,,,,,
27,40 - 49,30-39,6.6,3.0,11.3,1.9,4.7,0,,,,,
28,40 - 49,40-49,0.5,0.0,5.2,-4.2,4.7,0,,,,,
29,40 - 49,50-89,-5.0,1.0,-0.3,-9.7,4.7,0,,,,,
30,50 - 59,1-9,28.2,32.0,32.9,23.5,4.7,0,,,,,
31,50 - 59,10-19,81.5,80.0,86.2,76.7,4.7,0,,,,,
32,50 - 59,20-29,28.2,33.0,32.9,23.5,4.7,0,,,,,
33,50 - 59,30-39,9.6,10.0,14.3,4.9,4.7,0,,,,,
34,50 - 59,40-49,8.0,3.0,12.7,3.3,4.7,0,,,,,
35,50 - 59,50-89,3.0,0.0,7.7,-1.7,4.7,0,,,,,
36,60 - 69,1-9,44.5,36.0,49.2,39.8,4.7,0,,,,,
37,60 - 69,10-19,90.3,89.0,95.0,85.6,4.7,0,,,,,
38,60 - 69,20-29,59.9,58.0,64.6,55.2,4.7,0,,,,,
39,60 - 69,30-39,17.2,15.0,21.9,12.5,4.7,0,,,,,
40,60 - 69,40-49,7.0,2.0,11.7,2.3,4.7,0,,,,,
41,60 - 69,50-89,-2.4,2.0,2.3,-7.1,4.7,0,,,,,
42,70 - 79,1-9,53.8,50.0,58.5,49.0,4.7,0,,,,,
43,70 - 79,10-19,148.6,145.0,153.3,143.9,4.7,0,,,,,
44,70 - 79,20-29,36.5,46.0,41.2,31.8,4.7,0,,,,,
45,70 - 79,30-39,11.2,12.0,15.9,6.5,4.7,0,,,,,
46,70 - 79,40-49,0.6,1.0,5.3,-4.2,4.7,0,,,,,
47,70 - 79,50-89,1.1,1.0,5.9,-3.6,4.7,0,,,,,
48,80 - 89,1-9,36.5,41.0,41.2,31.8,4.7,0,,,,,
49,80 - 89,10-19,112.6,101.0,117.3,107.8,4.7,0,,,,,
50,80 - 89,20-29,24.2,31.0,28.9,19.5,4.7,0,,,,,
51,80 - 89,30-39,2.6,2.0,7.3,-2.1,4.7,0,,,,,
52,80 - 89,40-49,1.6,1.0,6.3,-3.1,4.7,0,,,,,
53,80 - 89,50-89,8.0,0.0,12.7,3.3,4.7,0,,,,,
54,90 - 99,1-9,4.0,10.0,8.7,-0.7,4.7,0,,,,,
55,90 - 99,10-19,14.9,10.0,19.6,10.2,4.7,0,,,,,
56,90 - 99,20-29,-5.5,6.0,-0.8,-10.3,4.7,0,,,,,
57,90 - 99,30-39,4.0,1.0,8.7,-0.7,4.7,0,,,,,
58,90 - 99,40-49,2.6,0.0,7.3,-2.2,4.7,0,,,,,
59,90 - 99,50-89,4.5,0.0,9.3,-0.2,4.7,0,,,,,
60,0 - 9,1-9,3.9,4.0,6.3,1.6,2.4,1,2.2,4.0,-2.5,7.0,4.7
61,0 - 9,10-19,1.5,0.0,3.9,-0.8,2.4,1,0.2,0.0,-4.5,4.9,4.7
62,0 - 9,20-29,-2.2,0.0,0.2,-4.5,2.4,1,-3.2,0.0,-7.9,1.5,4.7
63,0 - 9,30-39,-4.7,0.0,-2.3,-7.1,2.4,1,-6.7,0.0,-11.4,-1.9,4.7
64,0 - 9,40-49,0.2,0.0,2.6,-2.1,2.4,1,2.8,0.0,-1.9,7.6,4.7
