,age,num_medications,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0 - 9,1-9,9.1,4.0,13.8,4.4,4.7,0,,,,,
1,0 - 9,10-19,-1.4,0.0,3.3,-6.1,4.7,0,,,,,
2,0 - 9,20-29,3.4,0.0,8.1,-1.3,4.7,0,,,,,
3,0 - 9,30-39,-8.3,0.0,-3.6,-13.0,4.7,0,,,,,
4,0 - 9,40-49,-5.1,0.0,-0.4,-9.8,4.7,0,,,,,
5,0 - 9,50-89,0.7,0.0,5.4,-4.0,4.7,0,,,,,
6,10 - 19,1-9,0.4,1.0,5.1,-4.3,4.7,0,,,,,
7,10 - 19,10-19,-0.3,1.0,4.4,-5.0,4.7,0,,,,,
8,10 - 19,20-29,0.9,0.0,5.7,-3.8,4.7,0,,,,,
9,10 - 19,30-39,-0.4,0.0,4.3,-5.2,4.7,0,,,,,
10,10 - 19,40-49,2.1,0.0,6.8,-2.6,4.7,0,,,,,
11,10 - 19,50-89,0.1,0.0,4.8,-4.6,4.7,0,,,,,
12,20 - 29,1-9,11.1,10.0,15.9,6.4,4.7,0,,,,,
13,20 - 29,10-19,19.1,6.0,23.8,14.4,4.7,0,,,,,
14,20 - 29,20-29,5.4,2.0,10.1,0.7,4.7,0,,,,,
15,20 - 29,30-39,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
16,20 - 29,40-49,4.7,0.0,9.4,-0.1,4.7,0,,,,,
17,20 - 29,50-89,3.5,0.0,8.2,-1.2,4.7,0,,,,,
18,30 - 39,1-9,8.9,7.0,13.6,4.2,4.7,0,,,,,
19,30 - 39,10-19,19.1,16.0,23.8,14.4,4.7,0,,,,,
20,30 - 39,20-29,6.1,4.0,10.8,1.4,4.7,0,,,,,
21,30 - 39,30-39,1.8,0.0,6.5,-2.9,4.7,0,,,,,
22,30 - 39,40-49,0.3,0.0,5.0,-4.4,4.7,0,,,,,
23,30 - 39,50-89,-3.6,1.0,1.1,-8.3,4.7,0,,,,,
24,40 - 49,1-9,27.3,28.0,32.0,22.6,4.7,0,,,,,
25,40 - 49,10-19,44.2,47.0,48.9,39.5,4.7,0,,,,,
26,40 - 49,20-29,18.9,17.0,23.6,14.2,4.7,0,,,,,
27,40 - 49,30-39,16.9,2.0,21.6,12.1,4.7,0,,,,,
28,40 - 49,40-49,-1.2,1.0,3.5,-6.0,4.7,0,,,,,
29,40 - 49,50-89,1.4,0.0,6.1,-3.3,4.7,0,,,,,
30,50 - 59,1-9,32.9,31.0,37.6,28.2,4.7,0,,,,,
31,50 - 59,10-19,101.9,95.0,106.6,97.2,4.7,0,,,,,
32,50 - 59,20-29,29.8,31.0,34.5,25.1,4.7,0,,,,,
33,50 - 59,30-39,4.7,7.0,9.5,0.0,4.7,0,,,,,
34,50 - 59,40-49,3.3,4.0,8.0,-1.4,4.7,0,,,,,
35,50 - 59,50-89,3.3,1.0,8.0,-1.4,4.7,0,,,,,
36,60 - 69,1-9,27.3,28.0,32.0,22.6,4.7,0,,,,,
