,age,num_medications,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0 - 9,1-9,0.6,4.0,5.3,-4.1,4.7,0,,,,,
1,0 - 9,10-19,-10.8,0.0,-6.1,-15.5,4.7,0,,,,,
2,0 - 9,20-29,-0.3,0.0,4.5,-5.0,4.7,0,,,,,
3,0 - 9,30-39,2.0,0.0,6.7,-2.7,4.7,0,,,,,
4,0 - 9,40-49,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
5,0 - 9,50-89,-0.1,0.0,4.6,-4.8,4.7,0,,,,,
6,10 - 19,1-9,0.9,1.0,5.6,-3.8,4.7,0,,,,,
7,10 - 19,10-19,8.2,1.0,12.9,3.5,4.7,0,,,,,
8,10 - 19,20-29,4.0,0.0,8.7,-0.7,4.7,0,,,,,
9,10 - 19,30-39,2.1,0.0,6.8,-2.7,4.7,0,,,,,
10,10 - 19,40-49,-5.1,0.0,-0.4,-9.8,4.7,0,,,,,
11,10 - 19,50-89,5.2,0.0,9.9,0.5,4.7,0,,,,,
12,20 - 29,1-9,6.3,10.0,11.0,1.6,4.7,0,,,,,
13,20 - 29,10-19,7.0,6.0,11.7,2.3,4.7,0,,,,,
14,20 - 29,20-29,-8.6,2.0,-3.9,-13.4,4.7,0,,,,,
15,20 - 29,30-39,-4.8,0.0,-0.1,-9.6,4.7,0,,,,,
16,20 - 29,40-49,-1.5,0.0,3.2,-6.2,4.7,0,,,,,
17,20 - 29,50-89,-3.8,0.0,0.9,-8.6,4.7,0,,,,,
18,30 - 39,1-9,10.4,7.0,15.1,5.7,4.7,0,,,,,
19,30 - 39,10-19,14.8,16.0,19.5,10.0,4.7,0,,,,,
20,30 - 39,20-29,2.5,4.0,7.2,-2.2,4.7,0,,,,,
21,30 - 39,30-39,-5.0,0.0,-0.3,-9.7,4.7,0,,,,,
22,30 - 39,40-49,-5.9,0.0,-1.2,-10.7,4.7,0,,,,,
23,30 - 39,50-89,2.8,1.0,7.6,-1.9,4.7,0,,,,,
24,40 - 49,1-9,20.7,28.0,25.4,16.0,4.7,0,,,,,
25,40 - 49,10-19,46.9,47.0,51.6,42.1,4.7,0,,,,,
26,40 - 49,20-29,16.3,17.0,21.0,11.6,4.7,0,,,,,
27,40 - 49,30-39,6.0,2.0,10.7,1.3,4.7,0,,,,,
28,40 - 49,40-49,2.9,1.0,7.6,-1.8,4.7,0,,,,,
29,40 - 49,50-89,0.8,0.0,5.5,-4.0,4.7,0,,,,,
30,50 - 59,1-9,38.6,31.0,43.3,33.9,4.7,0,,,,,
31,50 - 59,10-19,107.1,95.0,111.8,102.4,4.7,0,,,,,
32,50 - 59,20-29,29.7,31.0,34.4,25.0,4.7,0,,,,,
33,50 - 59,30-39,4.6,7.0,9.3,-0.2,4.7,0,,,,,
34,50 - 59,40-49,7.0,4.0,11.7,2.3,4.7,0,,,,,
35,50 - 59,50-89,-5.9,1.0,-1.2,-10.6,4.7,0,,,,,
36,60 - 69,1-9,21.4,28.0,26.2,16.7,4.7,0,,,,,
37,60 - 69,10-19,105.5,107.0,110.2,100.8,4.7,0,,,,,
38,60 - 69,20-29,37.5,44.0,42.2,32.8,4.7,0,,,,,
39,60 - 69,30-39,15.2,17.0,19.9,10.5,4.7,0,,,,,
40,60 - 69,40-49,6.9,4.0,11.6,2.2,4.7,0,,,,,
41,60 - 69,50-89,8.5,3.0,13.3,3.8,4.7,0,,,,,
42,70 - 79,1-9,50.4,50.0,55.2,45.7,4.7,0,,,,,
43,70 - 79,10-19,138.9,138.0,143.6,134.2,4.7,0,,,,,
44,70 - 79,20-29,60.9,62.0,65.6,56.2,4.7,0,,,,,
